country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","07-04-2025 18:00:00",25.204762,85.514960,OZONE,25,53,32
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","07-04-2025 18:00:00",25.567520,83.966379,SO2,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","07-04-2025 18:00:00",25.567520,83.966379,OZONE,8,87,38
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","07-04-2025 18:00:00",25.7808257,84.7446768,PM2.5,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","07-04-2025 18:00:00",25.7808257,84.7446768,PM10,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","07-04-2025 18:00:00",25.251013,86.989001,PM10,65,126,79
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","07-04-2025 18:00:00",25.265194,87.012947,PM2.5,40,300,114
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","07-04-2025 18:00:00",25.265194,87.012947,OZONE,2,15,10
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","07-04-2025 18:00:00",25.204762,85.514960,PM2.5,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","07-04-2025 18:00:00",26.181742,91.78063,PM2.5,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","07-04-2025 18:00:00",26.181742,91.78063,PM10,75,177,108
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","07-04-2025 18:00:00",26.181742,91.78063,NO2,3,4,3
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","07-04-2025 18:00:00",26.446912,91.439057,SO2,1,7,3
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","07-04-2025 18:00:00",24.792403,84.992416,OZONE,7,30,15
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","07-04-2025 18:00:00",24.762518,84.982348,OZONE,7,53,38
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","07-04-2025 18:00:00",25.697189,85.245900,PM10,107,138,118
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","07-04-2025 18:00:00",24.792403,84.992416,SO2,14,20,18
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","07-04-2025 18:00:00",24.7955,84.9994,NO2,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","07-04-2025 18:00:00",26.0881305,87.93840336,OZONE,19,23,20
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","07-04-2025 18:00:00",27.308328,84.531742,PM10,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","07-04-2025 18:00:00",26.63086,84.90051,PM2.5,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB","07-04-2025 18:00:00",25.376776,86.471523,PM10,100,137,121
India,Bihar,Munger,"Town Hall, Munger - BSPCB","07-04-2025 18:00:00",25.376776,86.471523,NO2,21,23,22
India,Bihar,Munger,"Town Hall, Munger - BSPCB","07-04-2025 18:00:00",25.376776,86.471523,NH3,6,9,7
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","07-04-2025 18:00:00",26.11442,85.39813,NH3,9,14,12
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","07-04-2025 18:00:00",26.1403345,85.3650192,SO2,6,9,8
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","07-04-2025 18:00:00",26.1403345,85.3650192,CO,56,100,67
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","07-04-2025 18:00:00",25.586562,85.043586,SO2,2,7,4
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","07-04-2025 18:00:00",25.586562,85.043586,OZONE,10,41,26
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","07-04-2025 18:00:00",25.697189,85.245900,SO2,3,10,6
